"Date (UTC)","Loss","Jitter","Avg RTT","Min RTT","Max RTT"
"2017-09-11 09:05:13","0.0","7.952008","167.0","157.0","205.0"
"2017-09-11 09:10:11","0.0","2.263209","161.0","157.0","168.0"
"2017-09-11 09:15:13","0.0","7.495991","166.0","157.0","222.0"
"2017-09-11 09:20:12","0.0","3.995199","165.0","157.0","177.0"
"2017-09-11 09:25:11","0.0","8.302402","166.0","156.0","218.0"
"2017-09-11 09:30:13","0.0","2.483202","163.0","157.0","169.0"
"2017-09-11 09:35:14","0.0","5.264005","165.0","158.0","183.0"
"2017-09-11 09:40:13","0.0","2.815993","162.0","157.0","181.0"
"2017-09-11 09:45:12","0.0","6.831211","167.0","157.0","199.0"
"2017-09-11 09:50:12","0.0","2.313599","162.0","158.0","171.0"
"2017-09-11 09:55:12","0.0","10.703996","167.0","157.0","241.0"
